Year,water_discharge_million_cubic_meters,total_phosphorus_metric_tons,reactive_phosphorus_metric_tons,total_nitrogen_metric_tons
1982,7107,2980,575,39200
1983,4748,2070,285,35100
1984,5879,2670,367,45900
1985,4366,2070,119,32600
1986,5879,2420,171,43100
1987,3389,990,248,22400
1988,2640,830,98,22300
1989,4333,1930,200,47400
1990,5419,3060,319,55300
1991,5512,3420,387,41800
1992,5175,1680,269,44600
1993,7663,3000,447,40900
1994,3523,1280,103,25000
1995,3147,1170,116,30100
1996,5124,1900,207,50000
1997,6886,2880,428,54300
1998,6531,2930,508,39900
1999,4080,1270,215,32000
2000,3352,1190,202,32700
2001,3770,940,260,31700
2002,5957,2100,442,43700
2003,5764,2240,576,50600
2004,5439,1810,494,36400
2005,5857,2750,613,41230
2006,5150,1790,393,43380
2007,7510,3500,822,45200
2008,8026,3560,835,43000
2009,5075,2160,346,33100
2010,4648,1530,404,34660
2011,6230,2780,570,42800
2012,5960,2230,614,26530
2013,5030,2130,468,40500
2014,6020,2000,593,35500
