LAT	LON	STATION	ELEV	NAME
39.8914	-94.36	USC00230143	296.9	MO AMITY 4 NE
38.1872	-94.0283	USC00230204	264	MO APPLETON CITY
40.2575	-94.0269	USC00230608	289.3	MO BETHANY
37.0539	-93.5756	USC00230657	399.3	MO BILLINGS 1SW
37.6164	-93.3914	USC00230789	300.8	MO BOLIVAR 1 NE
39.3444	-91.1711	USC00230856	270.4	MO BOWLING GREEN 1 E
39.765	-93.0594	USC00230980	233.8	MO BROOKFIELD
39.4247	-93.1331	USC00231037	201.8	MO BRUNSWICK
37.6669	-93.1069	USC00231087	326.4	MO BUFFALO 2N
38.2611	-94.405	USC00231145	240.8	MO BUTLER 4W
38.6278	-92.5545	USC00231189	267.9	MO CALIFORNIA
40.1433	-91.5158	USC00231275	149.4	MO CANTON L&D 20
39.3594	-93.4886	USC00231340	214.9	MO CARROLLTON
36.6875	-93.8694	USC00231383	419.4	MO CASSVILLE
39.775	-93.5358	USC00231580	237.7	MO CHILLICOTHE 2S
37.1319	-90.7756	USC00231674	201.2	MO CLEARWATER DAM
38.395	-93.7711	USC00231711	234.7	MO CLINTON
40.2394	-94.6833	USC00231822	337.7	MO CONCEPTION
38.3486	-92.5811	USC00232503	281.6	MO ELDON
37.8642	-94.0156	USC00232511	278.9	MO ELDORADO SPRINGS
39.1561	-90.7833	USC00232591	144.8	MO ELSBERRY 1 S
37.7922	-90.4103	USC00232809	282.9	MO FARMINGTON
37.5742	-90.3075	USC00233038	219.2	MO FREDERICKTOWN
38.4583	-91.7028	USC00233043	245.4	MO FREEDOM
36.8061	-93.4678	USC00233094	313	MO GALENA
39.7425	-94.0347	USC00233568	274.3	MO HAMILTON 2W
39.7233	-91.3719	USC00233601	217	MO HANNIBAL WTR WKS
37.3186	-91.9628	USC00234019	373.1	MO HOUSTON
37.3781	-89.6678	USC00234226	134.1	MO JACKSON
38.5853	-92.1825	USC00234271	204.2	MO JEFFERSON CITY WTP
40.2058	-92.5747	USC00234544	295.7	MO KIRKSVILLE
38.2042	-92.6233	USC00234694	179.8	MO LAKESIDE
37.5983	-94.2842	USC00234705	293.5	MO LAMAR 7N
37.685	-92.6936	USC00234825	378	MO LEBANON 2W
37.5544	-91.8831	USC00234919	359.7	MO LICKING 4N
37.3908	-93.9492	USC00235027	328.3	MO LOCKWOOD
36.5994	-89.9894	USC00235207	88.4	MO MALDEN MUNI AP
37.1086	-92.5789	USC00235227	441.4	MO MANSFIELD
37.3378	-92.9097	USC00235307	449	MO MARSHFIELD
40.3458	-94.8342	USC00235340	300.2	MO MARYVILLE 2E
39.4194	-92.4369	USC00235671	262.1	MO MOBERLY
36.8617	-93.9625	USC00235704	432.8	MO MONETT 4SW
39.635	-91.7231	USC00235708	225.9	MO MONROE CITY
37.1542	-92.2617	USC00235834	446.8	MO MTN GROVE 2 N
36.865	-94.3603	USC00235976	314.9	MO NEOSHO
37.8394	-94.3739	USC00235987	265.5	MO NEVADA WTP
39.0172	-92.7558	USC00236012	195.4	MO NEW FRANKLIN 1W
38.0492	-93.7039	USC00236402	226.8	MO OSCEOLA
36.6744	-93.1075	USC00236460	254.2	MO OZARK BEACH
37.7342	-89.92	USC00236641	153	MO PERRYVILLE WTP
37.905	-93.3167	USC00236777	276.5	MO POMME DE TERRE DAM
36.7578	-90.4056	USC00236791	112.8	MO POPLAR BLUFF
37.8958	-90.8411	USC00236826	336.8	MO POTOSI 4 SW
40.3986	-93.5839	USC00236866	298.7	MO PRINCETON
37.9567	-91.7761	USC00237263	357.5	MO ROLLA MISSOURI S&T
38.4506	-91.3756	USC00237300	292.6	MO ROSEBUD
38.8147	-90.5169	USC00237397	142.3	MO ST CHARLES ELM POINT
38.6856	-90.5231	USC00237398	137.2	MO ST CHARLES 7 SSW
38.6292	-90.2706	USC00237452	166.1	MO ST LOUIS SCI CTR
37.6331	-91.5364	USC00237506	369.1	MO SALEM
39.4247	-92.8106	USC00237514	222.5	MO SALISBURY
39.6361	-91.2494	USC00237578	143.9	MO SAVERTON LOCK AND DAM 22
38.6753	-93.2228	USC00237632	237.7	MO SEDALIA WTP
36.8775	-89.6231	USC00237772	94.5	MO SIKESTON PWR STN
40.2472	-93.7158	USC00237963	266.7	MO SPICKARD 7 W
39.9714	-91.8872	USC00238051	210.3	MO STEFFENVILLE
37.6967	-93.7725	USC00238082	281	MO STOCKTON DAM
37.14	-91.6269	USC00238184	376.7	MO SUMMERSVILLE 3 SE
38.9664	-93.4194	USC00238223	205.7	MO SWEET SPRINGS
38.2597	-93.4136	USC00238466	229.8	MO TRUMAN DAM & RSVR
40.475	-93.0031	USC00238523	323.1	MO UNIONVILLE
39.3075	-91.4925	USC00238577	232.9	MO VANDALIA
38.4325	-92.8397	USC00238603	305.7	MO VERSAILLES
36.9231	-90.2836	USC00238700	125	MO WAPPAPELLO DAM
38.7842	-93.8008	USC00238712	242.6	MO WARRENSBURG 4NW
38.835	-91.1386	USC00238725	252.1	MO WARRENTON 1 N
36.8581	-92.5875	USC00238754	373.7	MO WASOLA 5N
37.8131	-92.2317	USC00238777	271.3	MO WAYNESVILLE 2 W
38.6989	-90.6828	USC00238805	178	MO WELDON SPRING NWS
37.2253	-89.5706	USW00003935	102.4	MO CAPE GIRARDEAU MUNI AP
