ModelYear,Manufacturer,Division,Model,Displacement,Cylinder,FEcity,FEhighway,FEcombined,Guzzler ,AirAspiration1,AirAspiration2,Gears,LockupTorqueConverter,DriveSystem1,DriveSystem2,FuelType,FuelType2,AnnualFuelCost,IntakeValvesPerCyl,ExhaustValvesPerCyl,Class,OilViscosity,StopStartSystem,FErating,CityCO2,HighwayCO2,CombinedCO2
2013,aston martin,Aston Martin Lagonda Ltd,V8 Vantage,4.7,8,14,21,16,G,NA,Naturally Aspirated,7,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),3550,2,2,1,10W60,N,3,654,426,551
2013,aston martin,Aston Martin Lagonda Ltd,V8 Vantage,4.7,8,13,19,15,G,NA,Naturally Aspirated,6,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),3800,2,2,1,10W60,N,3,680,461,581
2013,aston martin,Aston Martin Lagonda Ltd,V8 Vantage S,4.7,8,14,21,16,G,NA,Naturally Aspirated,7,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),3550,2,2,1,10W60,N,3,654,426,551
2013,aston martin,Aston Martin Lagonda Ltd,V8 Vantage S,4.7,8,13,19,15,G,NA,Naturally Aspirated,6,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),3800,2,2,1,10W60,N,3,680,461,581
2013,Audi,Audi,TT Roadster quattro,2,4,22,31,26,,TC,Turbocharged,6,Y,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2200,2,2,1,5W40,N,7,394,284,345
2013,BMW,BMW,Z4 sDrive28i,2,4,22,33,26,,TC,Turbocharged,8,Y,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),2200,2,2,1,0W30,N,7,403,266,341
2013,BMW,BMW,Z4 sDrive28i,2,4,22,34,26,,TC,Turbocharged,6,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),2200,2,2,1,0W30,Y,7,399,260,336
2013,BMW,BMW,Z4 sDrive35i,3,6,17,24,19,,TC,Turbocharged,7,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),3000,2,2,1,0W30,N,4,525,376,458
2013,BMW,BMW,Z4 sDrive35i,3,6,19,26,21,,TC,Turbocharged,6,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),2700,2,2,1,0W30,N,5,476,340,415
2013,BMW,BMW,Z4 sDrive35is,3,6,17,24,19,,TC,Turbocharged,7,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),3000,2,2,1,0W30,N,4,525,376,458
2013,Bugatti,Bugatti,Veyron,8,16,8,15,10,G,TC,Turbocharged,7,Y,A,All Wheel Drive,GPR,Gasoline (Premium Unleaded Required),5700,2,2,1,10W60 VW 50101 / 50500,N,1,1050,599,847
2013,General Motors,Chevrolet,CORVETTE,6.2,8,15,25,18,,NA,Naturally Aspirated,6,Y,R,"2-Wheel Drive, Rear",G,Gasoline (Regular Unleaded Recommended),2950,1,1,1,5W30,N,4,603,361,494
2013,General Motors,Chevrolet,CORVETTE,6.2,8,16,26,19,,NA,Naturally Aspirated,6,N,R,"2-Wheel Drive, Rear",G,Gasoline (Regular Unleaded Recommended),2800,1,1,1,5W30,N,4,548,346,457
2013,General Motors,Chevrolet,CORVETTE,6.2,8,14,21,17,G,SC,Supercharged,6,N,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),3350,1,1,1,5W30,N,4,633,413,534
2013,General Motors,Chevrolet,CORVETTE,7,8,15,24,18,,NA,Naturally Aspirated,6,N,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),3150,1,1,1,5W30,N,4,602,369,497
