Time_sec,Trace_1_pA
8.564,15.8506808
8.56405,16.1019442
8.5641,16.106125
8.56415,15.7250558
8.5642,15.9176942
8.56425,16.0265692
8.5643,15.9763192
8.56435,15.5659442
8.5644,16.1815
8.56445,15.6161942
8.5645,15.9135
8.56455,16.0433192
8.5646,16.19825
8.56465,15.955375
8.5647,15.9009442
8.56475,15.52825
8.5648,16.0098058
8.56485,16.340625
8.5649,15.62875
8.56495,15.7836942
8.565,16.0181942
8.56505,15.988875
8.5651,15.9511808
8.56515,15.69575
8.5652,15.9679308
8.56525,15.938625
8.5653,15.653875
8.56535,16.290375
8.5654,15.7585558
8.56545,15.9135
8.5655,15.88
8.56555,15.9009442
8.5656,15.6245692
8.56565,15.838125
8.5657,15.8339442
8.56575,15.9009442
8.5658,15.7920692
8.56585,15.9260558
8.5659,16.1019442
8.56595,15.9135
8.566,15.4570692
8.56605,15.8255692
8.5661,16.0851942
8.56615,16.072625
8.5662,15.82975
8.56625,15.955375
8.5663,16.1019442
8.56635,15.7669308
8.5664,15.79625
8.56645,15.787875
8.5665,15.7166808
8.56655,15.888375
8.5666,15.6455
8.56665,15.79625
8.5667,16.4536808
8.56675,15.79625
8.5668,15.746
8.56685,16.148
8.5669,15.921875
8.56695,15.486375
8.567,15.8423058
8.56705,15.9846942
8.5671,15.7083192
8.56715,16.0684442
8.5672,15.854875
8.56725,16.215
8.5673,16.0098058
8.56735,15.9511808
8.5674,15.720875
8.56745,15.570125
8.5675,16.0014442
8.56755,15.5659442
8.5676,15.8674442
8.56765,15.9176942
8.5677,15.7418192
8.56775,16.3113192
8.5678,15.7334442
8.56785,16.0475
8.5679,15.7669308
8.56795,16.2526942
8.568,15.7250558
8.56805,15.9763192
8.5681,15.804625
8.56815,16.106125
8.5682,15.603625
8.56825,16.2945692
8.5683,15.5115
8.56835,16.2778192
8.5684,16.0349308
8.56845,16.106125
8.5685,15.5115
8.56855,16.005625
8.5686,15.9344442
8.56865,15.938625
8.5687,15.9135
8.56875,15.905125
8.5688,15.8255692
8.56885,15.69575
8.5689,15.8088058
8.56895,15.7753192
8.569,15.9679308
8.56905,15.66225
8.5691,15.7250558
8.56915,15.5743192
8.5692,15.955375
8.56925,15.62875
8.5693,16.1145
8.56935,16.005625
8.5694,15.9805
8.56945,15.8088058
8.5695,15.8758192
8.56955,15.9679308
8.5696,16.206625
8.56965,16.055875
8.5697,15.8423058
8.56975,15.79625
8.5698,16.206625
8.56985,15.93025
8.5699,15.972125
8.56995,16.0768058
8.57,15.9763192
8.57005,15.9093058
8.5701,16.0098058
8.57015,15.62875
8.5702,15.7334442
8.57025,15.96375
8.5703,15.8590692
8.57035,15.3733192
8.5704,15.9093058
8.57045,15.8255692
8.5705,16.072625
8.57055,15.8171942
8.5706,15.93025
8.57065,15.6748058
8.5707,16.0600692
8.57075,15.5826942
8.5708,15.5826942
8.57085,15.8465
8.5709,16.1521942
8.57095,15.39425
8.571,15.7836942
8.57105,15.737625
8.5711,15.72925
8.57115,15.79625
8.5712,15.7125
8.57125,16.0935558
8.5713,15.8841808
8.57135,15.9260558
8.5714,15.7501942
8.57145,15.8171942
8.5715,15.6455
8.57155,16.106125
8.5716,16.0935558
8.57165,16.3113192
8.5717,15.86325
8.57175,16.06425
8.5718,15.687375
8.57185,15.972125
8.5719,15.76275
8.57195,16.0014442
8.572,15.947
8.57205,15.972125
8.5721,16.0349308
8.57215,16.1270692
8.5722,15.88
8.57225,15.8088058
8.5723,15.4445
8.57235,16.03075
8.5724,16.23175
8.57245,15.7795
8.5725,15.88
8.57255,15.854875
8.5726,15.52825
8.57265,15.79625
8.5727,16.0516808
8.57275,15.687375
8.5728,15.938625
8.57285,15.9176942
8.5729,15.8925692
8.57295,15.9846942
8.573,15.7501942
8.57305,15.9344442
8.5731,15.6748058
8.57315,16.1521942
8.5732,15.787875
8.57325,16.1940692
8.5733,15.8255692
8.57335,16.06425
8.5734,15.9511808
8.57345,16.206625
8.5735,15.9930558
8.57355,15.679
8.5736,15.99725
8.57365,15.737625
8.5737,16.106125
8.57375,16.0516808
8.5738,16.2694442
8.57385,16.2610558
8.5739,15.96375
8.57395,15.5240692
8.574,15.679
8.57405,16.0935558
8.5741,16.1145
8.57415,16.3699308
8.5742,15.96375
8.57425,16.014
8.5743,16.0600692
8.57435,16.0516808
8.5744,16.1438192
8.57445,15.9009442
8.5745,15.86325
8.57455,16.014
8.5746,15.670625
8.57465,15.7125
8.5747,15.9763192
8.57475,16.072625
8.5748,15.838125
8.57485,15.9679308
8.5749,15.9846942
8.57495,15.972125
8.575,15.9805
8.57505,15.612
8.5751,15.86325
8.57515,15.82975
8.5752,15.8255692
8.57525,15.854875
8.5753,15.5156808
8.57535,15.7795
8.5754,15.6078192
8.57545,15.7125
8.5755,15.86325
8.57555,15.7753192
8.5756,15.9930558
8.57565,15.7501942
8.5757,15.9176942
8.57575,15.921875
8.5758,15.6455
8.57585,15.9763192
8.5759,15.8171942
8.57595,16.3825
8.576,16.2694442
8.57605,16.0935558
8.5761,16.1019442
8.57615,15.9763192
8.5762,16.0768058
8.57625,15.888375
8.5763,16.1940692
8.57635,15.9344442
8.5764,15.96375
8.57645,15.82975
8.5765,15.99725
8.57655,15.5408192
8.5766,15.7753192
8.57665,15.7669308
8.5767,15.972125
8.57675,16.081
8.5768,15.687375
8.57685,15.9428192
8.5769,15.8255692
8.57695,15.76275
8.577,16.215
8.57705,15.813
8.5771,15.8841808
8.57715,16.189875
8.5772,15.653875
8.57725,15.7125
8.5773,15.787875
8.57735,16.03075
8.5774,16.122875
8.57745,15.7753192
8.5775,15.503125
8.57755,15.9344442
8.5776,16.09775
8.57765,16.0851942
8.5777,16.1940692
8.57775,16.0768058
8.5778,15.8423058
8.57785,15.7250558
8.5779,15.670625
8.57795,16.0851942
8.578,16.0600692
8.57805,15.8925692
8.5781,16.282
8.57815,16.03075
8.5782,15.921875
8.57825,15.7125
8.5783,15.637125
8.57835,16.0181942
8.5784,16.1354308
8.57845,15.6664442
8.5785,16.1815
8.57855,16.357375
8.5786,15.6245692
8.57865,16.1856942
8.5787,15.7669308
8.57875,15.838125
8.5788,15.670625
8.57885,15.6664442
8.5789,15.871625
8.57895,15.9344442
8.579,15.921875
8.57905,16.055875
8.5791,13.1120625
8.57915,13.1455625
8.5792,13.0283125
8.57925,13.258625
8.5793,13.2335
8.57935,13.334
8.5794,13.2795625
8.57945,13.1874375
8.5795,13.2125625
8.57955,13.0995
8.5796,13.1371875
8.57965,13.392625
8.5797,13.158125
8.57975,13.007375
8.5798,13.11625
8.57985,13.493125
8.5799,13.124625
8.57995,13.0701875
8.58,13.1371875
8.58005,13.1036875
8.5801,13.31725
8.58015,13.074375
8.5802,13.158125
8.58025,13.292125
8.5803,13.2
8.58035,13.3005
8.5804,13.31725
8.58045,13.3465625
8.5805,13.01575
8.58055,13.1874375
8.5806,13.325625
8.58065,13.0869375
8.5807,12.8859375
8.58075,13.3465625
8.5808,13.2041875
8.58085,12.9445625
8.5809,13.2963125
8.58095,13.3298125
8.581,13.241875
8.58105,13.292125
8.5811,13.074375
8.58115,13.0618125
8.5812,13.1665
8.58125,12.98225
8.5813,13.5015
8.58135,13.3968125
8.5814,13.0450625
8.58145,13.3884375
8.5815,13.21675
8.58155,13.1120625
8.5816,13.1874375
8.58165,13.2711875
8.5817,13.2
8.58175,13.0366875
8.5818,13.2963125
8.58185,12.81475
8.5819,13.25025
8.58195,13.4051875
8.582,13.45125
8.58205,13.4345
8.5821,13.4135625
8.58215,13.38425
8.5822,13.2544375
8.58225,13.107875
8.5823,13.3968125
8.58235,16.014
8.5824,15.7836942
8.58245,16.0600692
8.5825,15.7669308
8.58255,15.9511808
8.5826,16.3364442
8.58265,16.0516808
8.5827,15.9595692
8.58275,16.06425
8.5828,15.8255692
8.58285,15.7920692
8.5829,15.570125
8.58295,15.737625
8.583,16.0600692
8.58305,15.653875
8.5831,15.871625
8.58315,15.5826942
8.5832,16.1689442
8.58325,15.5073058
8.5833,15.6580692
8.58335,15.8841808
8.5834,15.8841808
8.58345,15.8465
8.5835,15.8841808
8.58355,15.3816808
8.5836,15.56175
8.58365,15.854875
8.5837,15.871625
8.58375,15.804625
8.5838,15.4486942
8.58385,15.9846942
8.5839,15.8339442
8.58395,15.96375
8.584,16.1940692
8.58405,16.0684442
8.5841,15.8590692
8.58415,16.1186808
8.5842,15.8925692
8.58425,15.7836942
8.5843,16.06425
8.58435,15.9344442
8.5844,16.022375
8.58445,16.014
8.5845,16.1019442
8.58455,15.9260558
8.5846,15.9805
8.58465,16.0098058
8.5847,16.0265692
8.58475,16.3364442
8.5848,15.6664442
8.58485,15.402625
8.5849,15.7585558
8.58495,15.7083192
8.585,15.854875
8.58505,15.8255692
8.5851,16.0265692
8.58515,16.1186808
8.5852,15.888375
8.58525,15.838125
8.5853,15.988875
8.58535,15.8925692
8.5854,16.055875
8.58545,15.771125
8.5855,15.6078192
8.58555,16.039125
8.5856,16.1019442
8.58565,15.6915692
8.5857,15.955375
8.58575,16.33225
8.5858,15.7669308
8.58585,16.4201942
8.5859,15.7083192
8.58595,16.2443058
8.586,15.586875
8.58605,15.8339442
8.5861,15.7501942
8.58615,15.9930558
8.5862,16.022375
8.58625,15.947
8.5863,16.1856942
8.58635,15.5743192
8.5864,16.2108192
8.58645,16.0684442
8.5865,15.66225
8.58655,15.8004308
8.5866,15.7669308
8.58665,15.787875
8.5867,16.005625
8.58675,15.854875
8.5868,15.720875
8.58685,15.86325
8.5869,16.0014442
8.58695,15.7795
8.587,16.0349308
8.58705,16.0265692
8.5871,16.2861808
8.58715,15.9511808
8.5872,16.03075
8.58725,15.82975
8.5873,15.787875
8.58735,15.8465
8.5874,15.49475
8.58745,15.8171942
8.5875,15.8590692
8.58755,16.1773058
8.5876,15.653875
8.58765,16.215
8.5877,16.09775
8.58775,15.8423058
8.5878,15.69575
8.58785,15.93025
8.5879,16.0349308
8.58795,16.2485
8.588,15.7125
8.58805,16.1815
8.5881,15.7669308
8.58815,16.0098058
8.5882,15.96375
8.58825,15.4319308
8.5883,16.0433192
8.58835,15.79625
8.5884,15.813
8.58845,15.813
8.5885,16.1815
8.58855,15.7753192
8.5886,16.290375
8.58865,16.23175
8.5887,15.8339442
8.58875,16.072625
8.5888,15.8674442
8.58885,16.089375
8.5889,15.737625
8.58895,15.746
8.589,15.6455
8.58905,16.39925
8.5891,16.16475
8.58915,15.62875
8.5892,15.9595692
8.58925,15.905125
8.5893,15.8255692
8.58935,15.8004308
8.5894,15.7166808
8.58945,15.6748058
8.5895,16.0349308
8.58955,15.955375
8.5896,15.813
8.58965,16.0475
8.5897,15.7795
8.58975,15.8925692
8.5898,15.787875
8.58985,15.8465
8.5899,15.6329308
8.58995,15.905125
8.59,15.9805
8.59005,15.7501942
8.5901,15.938625
8.59015,16.0600692
8.5902,15.9135
8.59025,15.6329308
8.5903,15.813
8.59035,15.96375
8.5904,16.03075
8.59045,15.9763192
8.5905,15.8004308
8.59055,15.89675
8.5906,15.9805
8.59065,15.905125
8.5907,15.9176942
8.59075,15.9511808
8.5908,16.1940692
8.59085,16.4871942
8.5909,16.0181942
8.59095,15.7125
8.591,15.5785
8.59105,15.6580692
8.5911,16.0349308
8.59115,15.5115
8.5912,16.139625
8.59125,15.88
8.5913,15.821375
8.59135,15.9846942
8.5914,15.570125
8.59145,15.9428192
8.5915,15.854875
8.59155,15.8004308
8.5916,15.93025
8.59165,16.1354308
8.5917,15.813
8.59175,16.014
8.5918,16.0600692
8.59185,16.139625
8.5919,16.0600692
8.59195,16.0433192
8.592,15.8506808
8.59205,15.8004308
8.5921,15.7669308
8.59215,15.7334442
8.5922,15.8088058
8.59225,15.8004308
8.5923,15.9763192
8.59235,16.039125
8.5924,15.72925
8.59245,15.972125
8.5925,15.5826942
8.59255,16.0433192
8.5926,16.0014442
8.59265,15.96375
8.5927,16.2108192
8.59275,15.9093058
8.5928,15.8004308
8.59285,15.72925
8.5929,16.1521942
8.59295,15.76275
8.593,15.7250558
8.59305,15.8841808
8.5931,15.6496942
8.59315,16.1186808
8.5932,15.938625
8.59325,15.804625
8.5933,15.82975
8.59335,15.5115
8.5934,15.59525
8.59345,15.7250558
8.5935,15.737625
8.59355,15.8841808
8.5936,15.905125
8.59365,16.06425
8.5937,15.9595692
8.59375,16.0014442
8.5938,15.9930558
8.59385,15.6580692
8.5939,16.03075
8.59395,15.93025
8.594,16.2778192
8.59405,15.804625
8.5941,15.89675
8.59415,16.022375
8.5942,16.3531942
8.59425,15.988875
8.5943,15.603625
8.59435,15.6664442
8.5944,15.771125
8.59445,15.720875
8.5945,15.8841808
8.59455,15.9805
8.5946,15.79625
8.59465,15.7753192
8.5947,15.7418192
8.59475,16.0014442
8.5948,16.0265692
8.59485,16.223375
8.5949,15.653875
8.59495,16.0935558
8.595,15.9805
8.59505,15.8590692
8.5951,15.7585558
8.59515,15.8590692
8.5952,16.0265692
8.59525,15.5491808
8.5953,16.0684442
8.59535,16.2024308
8.5954,15.9176942
8.59545,16.474625
8.5955,16.2024308
8.59555,15.821375
8.5956,15.96375
8.59565,15.838125
8.5957,15.8255692
8.59575,15.905125
8.5958,15.7334442
8.59585,15.8758192
8.5959,15.6664442
8.59595,16.357375
8.596,16.0098058
8.59605,15.86325
8.5961,15.6664442
8.59615,15.804625
8.5962,16.0516808
8.59625,15.746
8.5963,16.022375
8.59635,16.2778192
8.5964,15.8465
8.59645,15.66225
8.5965,15.6664442
8.59655,15.988875
8.5966,15.7166808
8.59665,15.3900558
8.5967,16.072625
8.59675,16.106125
8.5968,15.854875
8.59685,16.03075
8.5969,15.7166808
8.59695,16.0098058
8.597,15.938625
8.59705,15.754375
8.5971,16.0433192
8.59715,15.6580692
8.5972,16.0181942
8.59725,15.6915692
8.5973,15.8674442
8.59735,15.93025
8.5974,15.888375
8.59745,15.5659442
8.5975,15.7125
8.59755,15.6245692
8.5976,15.6831808
8.59765,15.813
8.5977,16.0600692
8.59775,16.3196942
8.5978,15.620375
8.59785,15.79625
8.5979,15.419375
8.59795,16.005625
8.598,16.0181942
8.59805,15.7125
8.5981,15.8255692
8.59815,15.988875
8.5982,15.9846942
8.59825,16.1605558
8.5983,15.9595692
8.59835,15.8465
8.5984,15.9176942
8.59845,15.6831808
8.5985,15.82975
8.59855,16.0265692
8.5986,16.014
8.59865,15.754375
8.5987,16.055875
8.59875,15.88
8.5988,15.8925692
8.59885,16.374125
8.5989,16.039125
8.59895,16.005625
8.599,15.93025
8.59905,15.813
8.5991,16.122875
8.59915,16.2443058
8.5992,15.6161942
8.59925,16.1521942
8.5993,16.1521942
8.59935,15.8758192
8.5994,15.888375
8.59945,15.9344442
8.5995,15.9009442
8.59955,15.988875
8.5996,15.7250558
8.59965,15.8171942
8.5997,15.6999442
8.59975,15.79625
8.5998,15.88
8.59985,15.754375
8.5999,15.8255692
8.59995,15.93025
8.6,15.9135
8.60005,15.3649442
8.6001,16.357375
8.60015,16.1940692
8.6002,16.072625
8.60025,15.9763192
8.6003,16.2485
8.60035,15.1471942
8.6004,15.653875
8.60045,15.5659442
8.6005,15.93025
8.60055,16.1270692
8.6006,15.8339442
8.60065,15.9176942
8.6007,15.8465
8.60075,15.3649442
8.6008,15.9846942
8.60085,15.938625
8.6009,15.771125
8.60095,16.1856942
8.601,15.653875
8.60105,15.7753192
8.6011,15.89675
8.60115,15.8758192
8.6012,15.9805
8.60125,15.8674442
8.6013,16.33225
8.60135,15.670625
8.6014,15.352375
8.60145,16.407625
8.6015,15.4319308
8.60155,15.9846942
8.6016,15.947
8.60165,16.055875
8.6017,16.1270692
8.60175,15.921875
8.6018,16.0181942
8.60185,15.86325
8.6019,15.9344442
8.60195,15.3984442
8.602,15.7669308
8.60205,16.1815
8.6021,15.9009442
8.60215,16.055875
8.6022,15.7166808
8.60225,16.072625
8.6023,15.947
8.60235,15.813
8.6024,16.3950692
8.60245,15.8004308
8.6025,16.072625
8.60255,15.9260558
8.6026,15.8339442
8.60265,15.7083192
8.6027,16.081
8.60275,15.888375
8.6028,16.055875
8.60285,15.8590692
8.6029,16.1856942
8.60295,15.76275
8.603,15.5910558
8.60305,16.03075
8.6031,15.69575
8.60315,15.6245692
8.6032,15.4570692
8.60325,15.921875
8.6033,16.09775
8.60335,15.8171942
8.6034,15.93025
8.60345,15.8590692
8.6035,15.9595692
8.60355,16.282
8.6036,16.3113192
8.60365,16.0768058
8.6037,15.7250558
8.60375,15.96375
8.6038,15.871625
8.60385,16.1103192
8.6039,15.7166808
8.60395,15.8925692
8.604,16.2485
8.60405,15.8841808
8.6041,16.0851942
8.60415,16.1438192
8.6042,15.6915692
8.60425,15.9009442
8.6043,15.8925692
8.60435,15.938625
8.6044,15.79625
8.60445,15.947
8.6045,15.5826942
8.60455,15.905125
8.6046,16.0014442
8.60465,15.8171942
8.6047,16.4788192
8.60475,15.679
8.6048,16.022375
8.60485,15.9763192
8.6049,15.955375
8.60495,15.8088058
8.605,15.804625
8.60505,15.8465
8.6051,15.888375
8.60515,15.8758192
8.6052,15.72925
8.60525,16.2778192
8.6053,15.6831808
8.60535,15.9805
8.6054,16.1186808
8.60545,16.139625
8.6055,15.720875
8.60555,15.720875
8.6056,16.0935558
8.60565,15.93025
8.6057,15.746
8.60575,15.603625
8.6058,15.637125
8.60585,16.0684442
8.6059,15.8758192
8.60595,15.955375
8.606,16.0600692
8.60605,16.005625
8.6061,16.189875
8.60615,15.5743192
8.6062,15.7753192
8.60625,15.921875
8.6063,15.720875
8.60635,15.7334442
8.6064,16.1019442
8.60645,16.0516808
8.6065,15.9930558
8.60655,15.888375
8.6066,15.771125
8.60665,15.821375
8.6067,16.06425
8.60675,15.637125
8.6068,15.871625
8.60685,15.72925
8.6069,15.7920692
8.60695,15.921875
8.607,15.838125
8.60705,15.9511808
8.6071,16.2359442
8.60715,15.5073058
8.6072,15.82975
8.60725,16.039125
8.6073,15.754375
8.60735,15.69575
8.6074,15.2141808
8.60745,15.972125
8.6075,15.8255692
8.60755,15.9260558
8.6076,15.938625
8.60765,16.0600692
8.6077,16.081
8.60775,15.89675
8.6078,15.62875
8.60785,15.8506808
8.6079,15.9176942
8.60795,15.86325
8.608,15.905125
8.60805,16.0433192
8.6081,15.9093058
8.60815,15.5659442
8.6082,16.022375
8.60825,15.947
8.6083,15.787875
8.60835,16.1270692
8.6084,15.612
8.60845,15.7836942
8.6085,15.570125
8.60855,15.771125
8.6086,16.0433192
8.60865,15.9428192
8.6087,16.09775
8.60875,15.603625
8.6088,15.5826942
8.60885,15.888375
8.6089,16.23175
8.60895,15.7334442
8.609,16.0349308
8.60905,15.9595692
