Time_sec,Local_Field_Potential_mV
0.001,-0.14791
0.002,-0.14009
0.003,-0.13578
0.004,-0.094334
0.005,-0.075441
0.006,-0.087888
0.007,-0.091367
0.008,-0.12112
0.009,-0.11579
0.01,-0.11281
0.011,-0.14144
0.012,-0.14324
0.013,-0.15523
0.014,-0.17023
0.015,-0.13721
0.016,-0.11345
0.017,-0.14442
0.018,-0.15661
0.019,-0.15547
0.02,-0.15426
0.021,-0.12434
0.022,-0.12058
0.023,-0.13248
0.024,-0.13119
0.025,-0.11272
0.026,-0.076138
0.027,-0.041142
0.028,-0.032295
0.029,-0.061341
0.03,-0.086547
0.031,-0.07872
0.032,-0.063283
0.033,-0.080626
0.034,-0.12449
0.035,-0.13033
0.036,-0.1093
0.037,-0.11113
0.038,-0.13418
0.039,-0.15958
0.04,-0.16135
0.041,-0.16138
0.042,-0.13624
0.043,-0.094789
0.044,-0.07729
0.045,-0.073023
0.046,-0.086037
0.047,-0.080355
0.048,-0.035142
0.049,-0.018836
0.05,-0.029788
0.051,-0.046658
0.052,-0.059293
0.053,-0.037546
0.054,-0.02104
0.055,-0.03851
0.056,-0.068296
0.057,-0.063258
0.058,-0.052726
0.059,-0.037233
0.06,0.027518
0.061,0.051139
0.062,0.040834
0.063,0.058871
0.064,0.064782
0.065,0.051425
0.066,0.062367
0.067,0.066007
0.068,0.032674
0.069,-0.00082357
0.07,0.0036488
0.071,0.036992
0.072,0.037667
0.073,0.054144
0.074,0.061001
0.075,0.056429
0.076,0.11131
0.077,0.15031
0.078,0.13633
0.079,0.088128
0.08,0.07453
0.081,0.064986
0.082,0.048688
0.083,0.072742
0.084,0.06948
0.085,0.066828
0.086,0.08254
0.087,0.10557
0.088,0.11033
0.089,0.10663
0.09,0.11409
0.091,0.10854
0.092,0.11974
0.093,0.1196
0.094,0.13075
0.095,0.15682
0.096,0.1455
0.097,0.12039
0.098,0.090623
0.099,0.079883
0.1,0.054265
0.101,0.025674
0.102,0.0027886
0.103,-0.055547
0.104,-0.079275
0.105,-0.11636
0.106,-0.17724
0.107,-0.20747
0.108,-0.2362
0.109,-0.20244
0.11,-0.16794
0.111,-0.21314
0.112,-0.21145
0.113,-0.17402
0.114,-0.14673
0.115,-0.095501
0.116,-0.085239
0.117,-0.10438
0.118,-0.10107
0.119,-0.083789
0.12,-0.058382
0.121,-0.042485
0.122,-0.030377
0.123,0.0070736
0.124,0.03392
0.125,0.024634
0.126,0.035799
0.127,0.032228
0.128,0.032616
0.129,0.052018
0.13,0.061817
0.131,0.079685
0.132,0.069507
0.133,0.039616
0.134,-0.0095091
0.135,-0.034995
0.136,-0.026863
0.137,-0.04005
0.138,-0.037468
0.139,-0.020966
0.14,0.00057733
0.141,-0.0091586
0.142,0.0015767
0.143,0.026652
0.144,-0.037345
0.145,-0.036737
0.146,-0.022789
0.147,-0.041096
0.148,-0.024818
0.149,-0.039234
0.15,-0.02174
0.151,-0.041064
0.152,-0.086396
0.153,-0.043195
0.154,-0.0010695
0.155,-6.98E-05
0.156,0.0088726
0.157,0.0098445
0.158,0.032724
0.159,0.062756
0.16,0.096957
0.161,0.10694
0.162,0.10737
0.163,0.11112
0.164,0.058911
0.165,0.041347
0.166,0.018851
0.167,-0.026027
0.168,-0.023287
0.169,-0.0227
0.17,-0.007701
0.171,0.0010733
0.172,0.024853
0.173,0.053991
0.174,0.050731
0.175,0.076256
0.176,0.11055
0.177,0.14189
0.178,0.13744
0.179,0.13503
0.18,0.15426
0.181,0.15474
0.182,0.1785
0.183,0.16964
0.184,0.18174
0.185,0.18931
0.186,0.14521
0.187,0.13484
0.188,0.10987
0.189,0.099613
0.19,0.099832
0.191,0.076039
0.192,0.06979
0.193,0.11172
0.194,0.14435
0.195,0.10498
0.196,0.083218
0.197,0.10993
0.198,0.11133
0.199,0.10011
